ans	Most recent answer
eye	Identity matrix
hggroup	Create group object
hgtransform	Transform graphics objects
makehgtform	Create 4-by-4 transform matrix
Specifying Target for Graphics Output
cla	Clear axes
clf	Clear figure
hold	Retain current plot when adding new plots
ishold	Current hold state
newplot	Specify where to draw graphics objects
Developing Chart Classes
getAxes	Get axes for chart container subclass
getColorbar	Get colorbar object for colorbar mixin subclass
getLayout	Get tiled chart layout for chart container subclass (Since R2020a)
getLegend	Get legend object for legend mixin subclass
matlab.graphics.chartcontainer.ChartContainer	Base class for developing chart objects
matlab.graphics.chartcontainer.mixin.Colorbar	Add colorbar support to chart container subclass
matlab.graphics.chartcontainer.mixin.Legend	Add legend support to chart container subclass
setup	Set up instance of chart container subclass
update	Update instance of chart container subclass after setting properties
Graphics Performance
drawnow	Update figures and process callbacks
opengl	(To be removed) Control OpenGL rendering
rendererinfo	Graphics renderer information
Programming
Scripts
edit	Edit or create file
grabcode	Extract MATLAB code from file published to HTML
input	Request user input
publish	Generate view of MATLAB file in specified format
snapnow	Take snapshot of image for inclusion in published document
Functions
Function Creation
function	Declare function name, inputs, and outputs
Argument Definitions
arguments	Declare function argument validation
inputname	Variable name of function input
inputParser	Input parser for functions
mfilename	Filename of currently running code
mustBeA	Validate that value comes from one of specified classes (Since R2020b)
mustBeColumn	Validate that value is column vector (Since R2024b)
mustBeFile	Validate that path refers to file (Since R2020b)
mustBeFinite	Validate that value is finite
mustBeFloat	Validate that value is floating-point array (Since R2020b)
mustBeFolder	Validate that input path refers to folder (Since R2020b)
mustBeGreaterThan	Validate that value is greater than another value
mustBeGreaterThanOrEqual	Validate that value is greater than or equal to another value
mustBeInRange	Validate that value is in the specified range (Since R2020b)
mustBeInteger	Validate that value is integer
mustBeLessThan	Validate that value is less than another value
mustBeLessThanOrEqual	Validate that value is less than or equal to another value
mustBeMatrix	Validate that value is matrix (Since R2024b)
mustBeMember	Validate that value is member of specified set
mustBeNegative	Validate that value is negative
mustBeNonempty	Validate that value is nonempty
mustBeNonmissing	Validate that value is not missing (Since R2020b)
mustBeNonNan	Validate that value is not NaN
mustBeNonnegative	Validate that value is nonnegative
mustBeNonpositive	Validate that value is nonpositive
mustBeNonsparse	Validate that value is nonsparse
mustBeNonzero	Validate that value is nonzero
mustBeNonzeroLengthText	Validate that value is text with nonzero length (Since R2020b)
mustBeNumeric	Validate that value is numeric
mustBeNumericOrLogical	Validate that value is numeric or logical
mustBePositive	Validate that value is positive
mustBeReal	Validate that value is real
mustBeRow	Validate that value is row vector (Since R2024b)
mustBeScalarOrEmpty	Validate that value is scalar or empty (Since R2020b)
mustBeSparse	Validate that value is sparse (Since R2023b)
mustBeText	Validate that value is string array, character vector, or cell array of character vectors (Since R2020b)
mustBeTextScalar	Validate that value is single piece of text (Since R2020b)
mustBeUnderlyingType	Validate that value has specified underlying type (Since R2020b)
mustBeValidVariableName	Validate that input name is valid variable name (Since R2020b)
mustBeVector	Validate that value is vector (Since R2020b)
namedargs2cell	Convert structure containing name-value pairs to cell array
nargin	Number of function input arguments
narginchk	Validate number of input arguments
nargout	Number of function output arguments
nargoutchk	Validate number of output arguments
validateattributes	Check validity of array
validatecolor	Validate color values (Since R2020b)
validatestring	Check validity of text
varargin	Variable-length input argument list
varargout	Variable-length output argument list
Scope Variables and Generate Names
assignin	Assign value to variable in specified workspace
global	Declare variables as global
isvarname	Determine if input is valid variable name
matlab.lang.makeUniqueStrings	Construct unique strings from input strings
matlab.lang.makeValidName	Construct valid MATLAB identifiers from input strings
mislocked	Determine if function or script is locked in memory
mlock	Prevent clearing function or script from memory
munlock	Allow clearing function or script from memory
namelengthmax	Maximum identifier length
persistent	Define persistent variable
Error Handling
assert	Throw error if condition false
error	Throw error and display message
lastwarn	Last warning message
onCleanup	Cleanup tasks upon function completion
try, catch	Execute statements and catch resulting errors
warning	Display warning message
Live Scripts and Functions
export	Convert live script or function to standard format (Since R2022a)
Classes
Define Classes
addlistener	Create event listener bound to event source
class	Class of object
classdef	Class definition keywords
delete	Delete handle object
dynamicprops	Superclass for classes that support dynamic properties
enumeration	Class enumeration members and names
eq	Determine equality
event.ClassInstanceEvent	Event data for InstanceCreated and InstanceDestroyed events
event.DynamicPropertyEvent	Event data for dynamic property events
event.EventData	Base class for event data
event.hasListener	Determine if listeners exist for event
event.listener	Class defining listener objects
event.PropertyEvent	Data for property events
event.proplistener	Define listener object for property events
events	Event names
findobj	Find handle objects
findprop	Find matlab.metadata.Property object
handle	Superclass of all handle classes
import	Add namespace, class, or functions to current import list
isenum	Determine if variable is enumeration
isequal	Determine array equality
ismethod	Determine if object has specified method
isobject	Determine if input is MATLAB object
isprop	Determine if property is defined by object
isvalid	Determine valid handles
listener	Create event listener without binding to event source
matlab.alias.AliasFileManager	Create and manage class alias definitions (Since R2021b)
matlab.diagram.ClassViewer	Create class diagrams in Class Diagram Viewer app (Since R2021a)
matlab.lang.HandlePlaceholder	Basic subclass of handle (Since R2024b)
matlab.lang.invalidHandle	Construct array of invalid handles (Since R2024b)
matlab.lang.OnOffSwitchState	Represent on and off states with logical values
matlab.lang.WeakReference	Weak reference to handle object (Since R2024b)
matlab.metadata.ArrayDimension	Size information for property validation
matlab.metadata.DynamicProperty	Describe dynamic property of MATLAB object
matlab.metadata.EnumerationMember	Describe enumeration member of MATLAB class
matlab.metadata.FixedDimension	Fixed dimension in property size specification
matlab.metadata.Method	Describe MATLAB class method
matlab.metadata.Property	Describe property of MATLAB class
matlab.metadata.UnrestrictedDimension	Unrestricted dimension in property size specification
matlab.metadata.Validation	Describes property validation
matlab.mixin.Copyable	Superclass providing copy functionality for handle objects
matlab.mixin.Heterogeneous	Superclass for heterogeneous array formation
matlab.mixin.SetGet	Provide handle classes with set and get methods
matlab.mixin.SetGetExactNames	Require exact name match for set and get methods
methods	Class method names
mustBeA	Validate that value comes from one of specified classes (Since R2020b)
mustBeFile	Validate that path refers to file (Since R2020b)
mustBeFinite	Validate that value is finite
mustBeFloat	Validate that value is floating-point array (Since R2020b)
mustBeFolder	Validate that input path refers to folder (Since R2020b)
mustBeGreaterThan	Validate that value is greater than another value
mustBeGreaterThanOrEqual	Validate that value is greater than or equal to another value
mustBeInRange	Validate that value is in the specified range (Since R2020b)
mustBeInteger	Validate that value is integer
mustBeLessThan	Validate that value is less than another value
mustBeLessThanOrEqual	Validate that value is less than or equal to another value
mustBeMember	Validate that value is member of specified set
mustBeNegative	Validate that value is negative
mustBeNonempty	Validate that value is nonempty
mustBeNonmissing	Validate that value is not missing (Since R2020b)
mustBeNonNan	Validate that value is not NaN
mustBeNonnegative	Validate that value is nonnegative
mustBeNonpositive	Validate that value is nonpositive
mustBeNonsparse	Validate that value is nonsparse
mustBeNonzero	Validate that value is nonzero
mustBeNonzeroLengthText	Validate that value is text with nonzero length (Since R2020b)
mustBeNumeric	Validate that value is numeric
mustBeNumericOrLogical	Validate that value is numeric or logical
mustBePositive	Validate that value is positive
mustBeReal	Validate that value is real
mustBeScalarOrEmpty	Validate that value is scalar or empty (Since R2020b)
mustBeText	Validate that value is string array, character vector, or cell array of character vectors (Since R2020b)
mustBeTextScalar	Validate that value is single piece of text (Since R2020b)
mustBeUnderlyingType	Validate that value has specified underlying type (Since R2020b)
mustBeValidVariableName	Validate that input name is valid variable name (Since R2020b)
mustBeVector	Validate that value is vector (Since R2020b)
notify	Notify listeners that event is occurring
properties	Class property names
relationaloperators	Determine equality or sort handle objects
superclasses	Names of superclasses
Sample Class Implementations
classdef	Class definition keywords
Construct and Work with Object Arrays
createArray	Create array of specified class and value (Since R2024a)
empty	Create empty array of specified class
matlab.mixin.Heterogeneous	Superclass for heterogeneous array formation
Class Customization
builtin	Execute built-in function from overloaded method
details	Display array details
listLength	Number of arguments returned from customized indexing operations (Since R2021b)
loadobj	Customize load process for objects
matlab.display.CompactDisplayRepresentation	Base class for representing compact display of object array (Since R2021b)
matlab.display.DimensionsAndClassNameRepresentation	Compact display representation using dimensions and class name (Since R2021b)
matlab.display.DisplayConfiguration	Describe display environment and settings (Since R2021b)
matlab.display.PlainTextRepresentation	Compact display representation using data in object array (Since R2021b)
matlab.indexing.IndexingOperation	Type of customized indexing operation and referenced indices (Since R2021b)
matlab.indexing.isScalarClass	Determine whether input is scalar class (Since R2024b)
matlab.mixin.CustomCompactDisplayProvider	Interface for customizing object display within containers (Since R2021b)
matlab.mixin.CustomDisplay	Interface for customizing object display
matlab.mixin.CustomElementSerialization	Customize how objects are serialized and deserialized (Since R2024b)
matlab.mixin.indexing.ForbidsPublicDotMethodCall	Disallow calling public methods using dot notation (Since R2021b)
